id	db_id	x	y
31413	49720590	-77.0136351	38.8860426
31414	49720612	-76.9922842	38.8479619
31415	49720767	-77.0081089	38.9373863
31416	49720770	-77.0086868	38.936575
31417	49720774	-77.0086861	38.9361595
31418	49720779	-77.0087773	38.9353085
31419	49720816	-77.0122026	38.9353298
31420	49720820	-77.0118056	38.9366904
31421	49720829	-77.0101915	38.9367703
31422	49720832	-77.0095642	38.9367124
31423	49720840	-77.0070378	38.936526
31424	49720844	-77.006729	38.936555
31425	49720897	-77.002132	38.936155
31426	49720929	-77.0161677	38.9322297
31427	49720949	-77.0183838	38.9327673
31428	49720966	-77.0173686	38.9343914
31429	49720972	-77.017051	38.934169
31430	49720979	-77.0167967	38.9329574
31431	49721013	-77.0127944	38.932636
31432	49721082	-76.965518	38.914684
31433	49721137	-76.961033	38.915717
31434	49721251	-76.9848917	38.8868684
31435	49721252	-76.9846673	38.8869098
31436	49721268	-76.9842461	38.8873384
31437	49721270	-76.9845826	38.8880858
31438	49721277	-76.9836601	38.8876109
31439	49721281	-77.001738	38.892017
31440	49721292	-77.0020381	38.892084
31441	49721610	-77.003172	38.930037
31442	49721696	-76.9972958	38.8625317
31443	49721699	-76.9615948	38.8895502
31444	49721760	-76.9725645	38.8746381
31445	49721776	-76.9725731	38.8749326
31446	49722130	-76.9235161	38.8860998
31447	49722137	-76.9231065	38.8864519
31448	49722409	-76.994969	38.877132
31449	49722419	-76.966981	38.920898
31450	49722433	-76.966388	38.921081
31451	49722458	-76.9316758	38.899547
31452	49722469	-76.9306659	38.8996976
31453	49722480	-76.9295916	38.899706
31454	49722494	-76.9279381	38.8997415
31455	49722499	-76.967768	38.874611
31456	49722505	-76.968338	38.874659
31457	49722667	-76.990404	38.865843
31458	49722737	-77.0146345	38.8983442
31459	49722743	-77.067646	38.946253
31460	49722744	-77.0151644	38.9064627
31461	49722745	-77.015164	38.907236
31462	49722785	-77.0270369	38.9136788
31463	49722787	-77.0270369	38.9140979
31464	49722925	-77.016163	38.909638
31465	49722926	-77.016293	38.909638
